ranking,icd3,disease_name,patient_count,morbidity_pct,morbidity_group,scarcity_weight_pct
1,K05,Gingivitis and periodontal diseases,20179142,6.263536803,Group 1 (Morbidity >=1%),-80
2,J20,Acute bronchitis,15423293,4.787337505,Group 1 (Morbidity >=1%),-80
3,I10,Essential (primary) hypertension,7546132,2.342293617,Group 1 (Morbidity >=1%),-80
4,J30,Vasomotor and allergic rhinitis,7146470,2.218239896,Group 1 (Morbidity >=1%),-80
5,K02,Dental caries,6180182,1.918307399,Group 1 (Morbidity >=1%),-80
6,M54,Dorsalgia,5932011,1.841275968,Group 1 (Morbidity >=1%),-80
7,J06,Acute upper respiratory infections of multiple and unspecified sites,5788505,1.796732195,Group 1 (Morbidity >=1%),-80
8,K29,Gastritis and duodenitis,5071923,1.574307588,Group 1 (Morbidity >=1%),-80
9,A09,Other gastroenteritis and colitis of infectious and unspecified origin,4920292,1.527241843,Group 1 (Morbidity >=1%),-80
10,K21,Gastro-oesophageal reflux disease,4560306,1.415503417,Group 1 (Morbidity >=1%),-80
11,J02,Acute pharyngitis,4274610,1.326824354,Group 1 (Morbidity >=1%),-80
12,J00,Acute nasopharyngitis [common cold],4235835,1.314788726,Group 1 (Morbidity >=1%),-80
13,H10,Conjunctivitis,4189018,1.300256889,Group 1 (Morbidity >=1%),-80
14,J03,Acute tonsillitis,4181631,1.29796399,Group 1 (Morbidity >=1%),-80
15,J01,Acute sinusitis,4156095,1.290037703,Group 1 (Morbidity >=1%),-80
16,L23,Allergic contact dermatitis,4152007,1.288768801,Group 1 (Morbidity >=1%),-80
17,E11,Type 2 diabetes mellitus,3779242,1.173063818,Group 1 (Morbidity >=1%),-80
18,E78,Disorders of lipoprotein metabolism and other lipidaemias,3495139,1.084879216,Group 1 (Morbidity >=1%),-80
19,M17,Gonarthrosis [arthrosis of knee],3453627,1.071994033,Group 1 (Morbidity >=1%),-80
20,M79,"Other soft tissue disorders, not elsewhere classified",3195951,0.992012282,Group 2 (Morbidity >=0.1%),-60
21,K04,Diseases of pulp and periapical tissues,3110096,0.965363183,Group 2 (Morbidity >=0.1%),-60
